Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1999,14.35,14.98,16.51,9.39,21.67,11.00,17.11,20.33,18.17,22.55,9.22,15.35,14.14,11.32,20.33,9.77,12.52,15.68,8.79,16.32,7.97,18.81,21.10,5.44,15.86
2000,13.88,14.87,16.67,9.62,21.26,9.68,16.93,20.00,18.01,22.58,9.41,14.92,14.02,10.92,20.25,8.93,11.70,15.81,8.40,15.92,6.44,18.50,20.57,4.72,15.90
2001,14.58,15.56,17.25,10.11,22.27,10.37,17.68,21.01,18.79,23.20,9.72,15.68,14.59,11.65,21.03,9.72,12.50,16.52,9.11,16.85,6.74,19.35,21.43,4.99,16.51
2002,14.38,15.20,16.98,9.85,22.20,10.12,17.50,20.77,18.44,23.39,9.84,15.45,14.77,11.44,21.09,9.20,12.21,16.65,8.91,16.63,6.31,19.14,21.47,4.60,16.62
2003,14.89,15.34,16.65,10.76,22.24,10.80,17.88,20.44,18.15,23.27,10.12,16.45,15.46,12.63,20.75,10.06,12.81,16.86,10.05,17.69,7.45,19.07,21.80,5.36,16.93
2004,14.85,15.41,17.02,10.34,22.08,11.53,17.73,20.61,18.55,22.82,9.77,15.70,15.01,11.65,20.63,9.91,12.80,16.60,9.22,16.79,8.52,19.25,21.68,5.76,16.67
2005,14.50,15.20,16.83,9.82,22.05,10.54,17.46,20.80,18.31,22.81,9.73,15.79,14.69,11.56,21.14,9.36,12.35,16.19,8.87,16.93,7.46,19.01,21.59,5.13,16.27
2006,15.08,15.48,17.04,10.89,22.72,10.66,18.15,21.40,18.94,23.69,10.23,16.39,15.90,12.59,21.09,9.89,12.76,16.77,10.34,17.77,7.45,19.77,22.32,5.68,17.19
2007,14.12,14.59,16.28,9.60,21.66,10.42,16.93,20.23,17.74,22.69,9.83,15.24,14.45,10.86,20.66,8.90,12.14,15.89,8.57,16.19,7.47,18.48,20.98,4.76,16.02
2008,15.02,15.79,17.37,9.77,22.29,11.58,18.10,20.66,18.91,23.11,9.32,16.69,14.79,12.14,20.44,10.43,13.40,16.08,8.93,17.57,8.14,19.79,21.86,5.47,16.29
2009,15.11,15.79,16.90,10.27,22.78,11.02,18.41,20.73,18.44,23.47,9.85,16.72,15.46,12.45,20.40,9.91,13.11,16.70,9.74,17.96,7.83,19.68,22.56,4.95,16.74
2010,14.52,15.28,16.98,9.94,21.53,10.83,17.55,20.22,18.12,22.77,10.12,15.98,14.63,11.80,20.20,9.50,12.58,16.29,9.01,16.88,7.51,18.84,21.05,5.15,16.05
2011,14.79,15.40,16.85,9.72,21.91,11.66,17.74,20.49,18.21,22.96,9.59,16.06,14.84,11.80,20.62,9.86,13.24,16.22,9.03,17.21,8.17,19.05,21.48,5.17,16.24
2012,15.22,15.64,17.46,10.62,23.06,11.21,18.33,21.49,18.86,23.75,10.15,16.17,15.72,12.45,21.46,10.25,13.01,16.95,10.02,17.54,7.92,19.92,22.70,4.99,17.10
2013,15.09,15.49,17.06,10.04,22.54,11.54,18.06,20.41,18.56,23.14,9.69,16.52,15.21,12.15,20.26,10.31,13.32,16.74,9.19,17.71,8.46,19.54,22.61,5.68,16.76
2014,15.01,15.77,17.44,10.26,22.82,11.13,18.06,21.20,18.72,23.88,10.09,16.13,15.05,12.16,21.25,9.76,12.61,16.81,9.46,17.45,7.87,19.69,22.03,5.31,16.90
2015,15.15,15.85,17.65,10.31,22.87,11.57,18.16,21.13,19.01,23.71,10.33,16.18,15.06,12.04,21.29,10.20,13.07,16.92,9.38,17.18,8.05,19.88,22.36,5.13,16.87
2016,14.65,15.27,16.93,9.90,21.48,11.35,17.34,20.27,18.18,22.58,10.29,15.61,14.52,11.77,20.34,10.36,12.71,16.41,9.07,16.69,8.36,18.82,21.20,5.94,16.12
2017,15.16,16.13,18.09,10.08,22.56,11.24,18.19,21.34,19.10,23.62,10.27,16.22,15.22,12.34,21.42,10.08,13.10,16.71,9.89,17.29,8.10,19.68,22.08,5.85,16.86
2018,14.97,15.90,17.63,10.25,22.24,11.27,18.07,20.93,18.84,22.95,10.06,16.29,15.03,12.21,20.86,9.67,12.80,16.35,9.65,17.43,8.02,19.55,21.71,5.60,16.58
2019,15.03,15.60,17.40,10.51,22.13,11.27,17.83,20.95,18.44,23.19,10.60,16.40,15.08,12.65,21.51,10.15,12.97,16.76,9.96,17.64,8.06,19.25,21.63,5.74,16.65
2020,15.28,15.65,17.28,10.71,22.86,11.50,18.15,21.17,18.60,24.02,10.37,16.52,15.40,12.95,21.19,10.30,13.16,17.26,10.18,18.06,8.17,19.43,22.17,5.94,16.98
