iso3;country;residence_type;service_type;year;uncorrected_coverage;population;service_level;coverage
ARG;Argentina;urban;Drinking water;2016;9.959.494;3.984.982.760.285;At least basic;0.9959494
ARG;Argentina;urban;Drinking water;2016;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2016;0.11857;4.744.021.043;Surface water;0.0011857
ARG;Argentina;urban;Drinking water;2016;0.2865;11.463.218.672;Unimproved;0.002865
ARG;Argentina;urban;Drinking water;2017;9.965.053;4.027.841.457.825;At least basic;0.9965053
ARG;Argentina;urban;Drinking water;2017;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2017;0.11857;4.792.368.159;Surface water;0.0011857
ARG;Argentina;urban;Drinking water;2017;0.2309;9.332.974.016;Unimproved;0.002309
ARG;Argentina;urban;Drinking water;2018;9.970.613;4.068.285.943.088;At least basic;0.9970613
ARG;Argentina;urban;Drinking water;2018;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2018;0.11857;4.837.790.507;Surface water;0.0011857
ARG;Argentina;urban;Drinking water;2018;0.17531;7.153.066.405;Unimproved;0.0017531
ARG;Argentina;urban;Drinking water;2019;9.976.172;4.106.377.146.579;At least basic;0.9976172
ARG;Argentina;urban;Drinking water;2019;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2019;0.11857;4.880.365.392;Surface water;0.0011857
ARG;Argentina;urban;Drinking water;2019;0.11971;4.927.688.028;Unimproved;0.0011971
ARG;Argentina;urban;Drinking water;2020;9.981.731;4.140.735.580.325;At least basic;0.9981731
ARG;Argentina;urban;Drinking water;2020;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2020;0.11857;4.918.458.985;Surface water;0.0011857
ARG;Argentina;urban;Drinking water;2020;0.06412;2.659.960.689;Unimproved;0.0006412
ARG;Argentina;urban;Drinking water;2021;9.981.731;4.168.203.707.857;At least basic;0.9981731
ARG;Argentina;urban;Drinking water;2021;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2021;0.11857;4.951.086.246;Surface water;0.0011857
ARG;Argentina;urban;Drinking water;2021;0.06412;2.677.605.897;Unimproved;0.0006412
ARG;Argentina;urban;Drinking water;2022;9.981.731;4.195.063.748.317;At least basic;0.9981731
ARG;Argentina;urban;Drinking water;2022;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2022;0.11857;4.982.991.207;Surface water;0.0011857
ARG;Argentina;urban;Drinking water;2022;0.06412;2.694.860.477;Unimproved;0.0006412
BOL;Bolivia (Plurinational State of);urban;Drinking water;2000;9.537.014;506.333.803.928;At least basic;0.9537014
BOL;Bolivia (Plurinational State of);urban;Drinking water;2000;0.12222;648.882.217;Limited service;0.0012222
BOL;Bolivia (Plurinational State of);urban;Drinking water;2000;0.53195;2.824.203.275;Surface water;0.0053195
BOL;Bolivia (Plurinational State of);urban;Drinking water;2000;397.569;2.110.751.058;Unimproved;0.0397569
BOL;Bolivia (Plurinational State of);urban;Drinking water;2001;9.555.942;520.735.319.213;At least basic;0.9555942
BOL;Bolivia (Plurinational State of);urban;Drinking water;2001;0.12051;65.667.732;Limited service;0.0012051
BOL;Bolivia (Plurinational State of);urban;Drinking water;2001;0.5179;2.822.228.739;Surface water;0.005179
BOL;Bolivia (Plurinational State of);urban;Drinking water;2001;380.217;20.719.274.727;Unimproved;0.0380217
BOL;Bolivia (Plurinational State of);urban;Drinking water;2002;9.574.872;535.048.959.576;At least basic;0.9574872
BOL;Bolivia (Plurinational State of);urban;Drinking water;2002;0.11878;663.774.178;Limited service;0.0011878
BOL;Bolivia (Plurinational State of);urban;Drinking water;2002;0.50386;2.815.573.624;Surface water;0.0050386
BOL;Bolivia (Plurinational State of);urban;Drinking water;2002;362.864;20.277.042.622;Unimproved;0.0362864
BOL;Bolivia (Plurinational State of);urban;Drinking water;2003;9.593.802;549.591.542.782;At least basic;0.9593802
BOL;Bolivia (Plurinational State of);urban;Drinking water;2003;0.11706;670.564.778;Limited service;0.0011706
BOL;Bolivia (Plurinational State of);urban;Drinking water;2003;0.48981;280.592.174;Surface water;0.0048981
BOL;Bolivia (Plurinational State of);urban;Drinking water;2003;345.512;197.930.207;Unimproved;0.0345512
BOL;Bolivia (Plurinational State of);urban;Drinking water;2004;9.612.733;564.438.855.148;At least basic;0.9612733
BOL;Bolivia (Plurinational State of);urban;Drinking water;2004;0.11532;677.126.012;Limited service;0.0011532
BOL;Bolivia (Plurinational State of);urban;Drinking water;2004;0.47576;2.793.565.513;Surface water;0.0047576
BOL;Bolivia (Plurinational State of);urban;Drinking water;2004;328.159;19.268.803.327;Unimproved;0.0328159
BOL;Bolivia (Plurinational State of);urban;Drinking water;2005;9.631.664;579.582.513.201;At least basic;0.9631664
BOL;Bolivia (Plurinational State of);urban;Drinking water;2005;0.11357;683.429.319;Limited service;0.0011357
BOL;Bolivia (Plurinational State of);urban;Drinking water;2005;0.46171;2.778.347.372;Surface water;0.0046171
BOL;Bolivia (Plurinational State of);urban;Drinking water;2005;310.807;18.702.710.109;Unimproved;0.0310807
