"country","year","movi","movi_ave_global","movi_ave_10","movi_ave_5","change_global","change_10","change_5"
"Argentina",2000,0.621512687945869,0.160353327539173,0.114053556049499,0.0409256750335369,2.87589517151765,4.44930565493402,14.1863759714792
"Argentina",2001,0.330371698200465,0.160353327539173,0.114053556049499,0.0409256750335369,1.0602734178981,1.89663654202141,7.07248012231293
"Argentina",2002,0.185841315711119,0.160353327539173,0.114053556049499,0.0409256750335369,0.158948919633235,0.629421494148455,3.54094686425648
"Argentina",2003,0,0.160353327539173,0.114053556049499,0.0409256750335369,-1,-1,-1
"Argentina",2004,0.212895481065518,0.160353327539173,0.114053556049499,0.0409256750335369,0.327664878133004,0.866627297206954,4.20200292093066
"Argentina",2005,0.160761859442097,0.160353327539173,0.114053556049499,0.0409256750335369,0.00254769831841561,0.409529566726765,2.92814191361192
"Argentina",2006,0.272215311385087,0.160353327539173,0.114053556049499,0.0409256750335369,0.697596897816709,1.3867323458722,5.65145562442202
"Argentina",2007,0.0806449153018278,0.160353327539173,0.114053556049499,0.0409256750335369,-0.497079876423975,-0.292920641011595,0.970521322757477
"Argentina",2008,0.172093189794306,0.160353327539173,0.114053556049499,0.0409256750335369,0.0732124642207062,0.508880527316641,3.20501774627499
"Argentina",2009,0.143934228699734,0.160353327539173,0.114053556049499,0.0409256750335369,-0.102393253020759,0.261988084240591,2.51696651507363
"Argentina",2010,0.127043192141064,0.160353327539173,0.114053556049499,0.0409256750335369,-0.207729617522104,0.113890671553701,2.10424182464815
"Argentina",2011,0.10601416227246,0.160353327539173,0.114053556049499,0.0409256750335369,-0.338871454060961,-0.0704878835478819,1.59040717558319
"Argentina",2012,0.134262930946446,0.160353327539173,0.114053556049499,0.0409256750335369,-0.162705676228349,0.177191975392475,2.2806528135803
"Argentina",2013,0.0825584277877874,0.160353327539173,0.114053556049499,0.0409256750335369,-0.485146775219747,-0.276143325579807,1.01727711809602
"Argentina",2014,0.204418310142031,0.160353327539173,0.114053556049499,0.0409256750335369,0.274799302759047,0.792301066468406,3.99486715795203
"Argentina",2015,0.204549606924439,0.160353327539173,0.114053556049499,0.0409256750335369,0.275618099502607,0.793452251814622,3.99807533429367
"Argentina",2016,0.0748061572532141,0.160353327539173,0.114053556049499,0.0409256750335369,-0.533491706089233,-0.344113766862749,0.827853961893446
"Argentina",2017,0.369574683219833,0.160353327539173,0.114053556049499,0.0409256750335369,1.30475219249534,2.24036089729143,8.03038698609081
"Argentina",2018,0.0808943167115828,0.160353327539173,0.114053556049499,0.0409256750335369,-0.495524552230942,-0.290733936638723,0.976615331214287
"Argentina",2019,0.0466079678416532,0.160353327539173,0.114053556049499,0.0409256750335369,-0.709342060081246,-0.591350156399986,0.138844204853308
"Argentina",2020,0,0.160353327539173,0.114053556049499,0.0409256750335369,-1,-1,-1
"Argentina",2021,0.0380902036416336,0.160353327539173,0.114053556049499,0.0409256750335369,-0.762460784405435,-0.666032301306743,-0.0692834361212061
"Argentina",2022,0.0390358869728149,0.160353327539173,0.114053556049499,0.0409256750335369,-0.75656328701206,-0.657740728786453,-0.0461760999463882
"Bolivia",2000,1.64978204616655,0.810398124472803,0.296418748031331,0.19943603673691,1.03576735476751,4.56571423745495,7.27223641804963
"Bolivia",2001,1.01688801061948,0.810398124472803,0.296418748031331,0.19943603673691,0.25480054791712,2.43057926454772,4.09881778267048
"Bolivia",2002,1.32462280164096,0.810398124472803,0.296418748031331,0.19943603673691,0.634533399867726,3.46875513252269,5.64184278485419
"Bolivia",2003,1.06856478884006,0.810398124472803,0.296418748031331,0.19943603673691,0.318567697247824,2.60491634195525,4.35793232919926
"Bolivia",2004,1.22179095603302,0.810398124472803,0.296418748031331,0.19943603673691,0.507642872233749,3.12184102438716,5.12622962240656
"Bolivia",2005,0.853213539683923,0.810398124472803,0.296418748031331,0.19943603673691,0.0528325694719158,1.87840612427706,3.27813124269741
"Bolivia",2006,0.922993258937089,0.810398124472803,0.296418748031331,0.19943603673691,0.138938049168776,2.11381538808581,3.6280164509821
"Bolivia",2007,0.639471319701951,0.810398124472803,0.296418748031331,0.19943603673691,-0.210917078420001,1.15732413671203,2.20639805205076
"Bolivia",2008,1.3313770232334,0.810398124472803,0.296418748031331,0.19943603673691,0.642867848564574,3.49154121348854,5.67570939042332
"Bolivia",2009,1.42258909787272,0.810398124472803,0.296418748031331,0.19943603673691,0.755420027407111,3.79925479518709,6.13305940665757
"Bolivia",2010,0.561991790851109,0.810398124472803,0.296418748031331,0.19943603673691,-0.306523825907535,0.895938750782751,1.81790492854845
"Bolivia",2011,2.79848706711203,0.810398124472803,0.296418748031331,0.19943603673691,2.45322500460198,8.44099212920309,13.0320030065765
"Bolivia",2012,0.863197681868871,0.810398124472803,0.296418748031331,0.19943603673691,0.065152615488117,1.91208868400467,3.3281931189175
"Bolivia",2013,0.524896585323499,0.810398124472803,0.296418748031331,0.19943603673691,-0.352297877459964,0.770794151212116,1.63190441362374
"Bolivia",2014,0,0.810398124472803,0.296418748031331,0.19943603673691,-1,-1,-1
"Bolivia",2015,0.535602753718685,0.810398124472803,0.296418748031331,0.19943603673691,-0.339086878974311,0.806912542731854,1.68558662958809
"Bolivia",2016,0.396169672292986,0.810398124472803,0.296418748031331,0.19943603673691,-0.511141918608572,0.336520294091221,0.986449784978435
"Bolivia",2017,0.510338285293591,0.810398124472803,0.296418748031331,0.19943603673691,-0.370262257670467,0.721680186165718,1.55890707438603
"Bolivia",2018,0.247780442496261,0.810398124472803,0.296418748031331,0.19943603673691,-0.694248499578584,-0.164086468410322,0.24240556797228
