"date","indexP","indexPlower","indexPupper","indexPsmooth7","indexPsmooth15","indexPsmooth30","indexPsmooth60"
"2000-01-01","0.917652241052493","0.472598983185415","1.59545820096637",0.917652241052493,0.917652241052493,0.917652241052493,0.917652241052493
"2001-01-01","0.937161037873606","0.481656561188958","1.62560560901643",0.937161037873606,0.937161037873606,0.937161037873606,0.937161037873606
"2002-01-01","1.02756454675982","0.536050147999262","1.77385637114077",1.02756454675982,1.02756454675982,1.02756454675982,1.02756454675982
"2003-01-01","1.08074798371628","0.561120482279013","1.86343279287012",1.08074798371628,1.08074798371628,1.08074798371628,1.08074798371628
"2004-01-01","1.06683479019028","0.551160761259632","1.84120524853313",1.06683479019028,1.06683479019028,1.06683479019028,1.06683479019028
"2005-01-01","1.13275787697377","0.582678571313353","1.94237001688908",1.13275787697377,1.13275787697377,1.13275787697377,1.13275787697377
"2006-01-01","1.08764938346997","0.56234131972065","1.87232425838524",1.08764938346997,1.08764938346997,1.08764938346997,1.08764938346997
"2007-01-01","1.04689935547671","0.546366907307327","1.8050855159938",1.04689935547671,1.04689935547671,1.04689935547671,1.04689935547671
"2008-01-01","1.02894689923269","0.532771030048234","1.7753366785393",1.02894689923269,1.02894689923269,1.02894689923269,1.02894689923269
"2009-01-01","1.03793704170979","0.540841661306909","1.79660044833964",1.03793704170979,1.03793704170979,1.03793704170979,1.03793704170979
"2010-01-01","1.1222019919202","0.565495854421727","1.93038209384445",1.1222019919202,1.1222019919202,1.1222019919202,1.1222019919202
"2011-01-01","1.09055463389462","0.560449104777109","1.87426379589492",1.09055463389462,1.09055463389462,1.09055463389462,1.09055463389462
"2012-01-01","1.09155158598207","0.555935690234963","1.88055034378466",1.09155158598207,1.09155158598207,1.09155158598207,1.09155158598207
"2013-01-01","1.19172467437211","0.60286307005098","2.04580973134345",1.19172467437211,1.19172467437211,1.19172467437211,1.19172467437211
"2014-01-01","1.12337395883996","0.580296854807287","1.92775841027946",1.12337395883996,1.12337395883996,1.12337395883996,1.12337395883996
"2015-01-01","1.19954656928479","0.624569252272674","2.05077963513264",1.19954656928479,1.19954656928479,1.19954656928479,1.19954656928479
"2016-01-01","1.21685819452326","0.632034678131472","2.07785866373981",1.21685819452326,1.21685819452326,1.21685819452326,1.21685819452326
"2017-01-01","1.21913497430995","0.616806797400556","2.12906099241647",1.21913497430995,1.21913497430995,1.21913497430995,1.21913497430995
"2018-01-01","1.11132681014006","0.571659923392928","1.90787908766247",1.11132681014006,1.11132681014006,1.11132681014006,1.11132681014006
"2019-01-01","1.0938735022128","0.558080141720817","1.89822245547768",1.0938735022128,1.0938735022128,1.0938735022128,1.0938735022128
"2020-01-01","1.22477546357765","0.638564983208324","2.0915620714435",1.22477546357765,1.22477546357765,1.22477546357765,1.22477546357765
"2021-01-01","1.16218956382083","0.611841667304656","1.99195041756652",1.16218956382083,1.16218956382083,1.16218956382083,1.16218956382083
"2022-01-01","1.16783866189227","0.59814670482358","2.00286258327684",1.16783866189227,1.16783866189227,1.16783866189227,1.16783866189227
"2023-01-01","1.19006295783139","0.621541132714793","2.03674164294167",1.19006295783139,1.19006295783139,1.19006295783139,1.19006295783139
