"date","indexP","indexPlower","indexPupper","indexPsmooth7","indexPsmooth15","indexPsmooth30","indexPsmooth60"
"2000-01-01","1.0896645981629","0.53050434222318","1.86069260629465",1.0896645981629,1.0896645981629,1.0896645981629,1.0896645981629
"2001-01-01","1.07476627722502","0.519917200095616","1.85444385013933",1.07476627722502,1.07476627722502,1.07476627722502,1.07476627722502
"2002-01-01","1.13221723656735","0.532948073939483","1.98035409873183",1.13221723656735,1.13221723656735,1.13221723656735,1.13221723656735
"2003-01-01","1.31566068158064","0.64764774105042","2.26801741620821",1.31566068158064,1.31566068158064,1.31566068158064,1.31566068158064
"2004-01-01","1.2240209979121","0.603074360119626","2.09676363671508",1.2240209979121,1.2240209979121,1.2240209979121,1.2240209979121
"2005-01-01","1.40349061127632","0.659564414255827","2.58342692321264",1.40349061127632,1.40349061127632,1.40349061127632,1.40349061127632
"2006-01-01","1.26545949574553","0.619699528886695","2.15519114189752",1.26545949574553,1.26545949574553,1.26545949574553,1.26545949574553
"2007-01-01","1.16156972824365","0.568567994562514","1.98153354045775",1.16156972824365,1.16156972824365,1.16156972824365,1.16156972824365
"2008-01-01","1.1691293104978","0.566193087417593","2.0340459439258",1.1691293104978,1.1691293104978,1.1691293104978,1.1691293104978
"2009-01-01","1.14760045281035","0.54551492320472","1.99599555488235",1.14760045281035,1.14760045281035,1.14760045281035,1.14760045281035
"2010-01-01","1.2886764288644","0.633577181881715","2.22656275399385",1.2886764288644,1.2886764288644,1.2886764288644,1.2886764288644
"2011-01-01","1.29230915661242","0.635779828656744","2.23060876999095",1.29230915661242,1.29230915661242,1.29230915661242,1.29230915661242
"2012-01-01","1.13336953964586","0.543940510237027","1.95751139118019",1.13336953964586,1.13336953964586,1.13336953964586,1.13336953964586
"2013-01-01","1.36116757510459","0.672982770960477","2.3405512668138",1.36116757510459,1.36116757510459,1.36116757510459,1.36116757510459
"2014-01-01","1.24573223497261","0.612544979925213","2.11882455595378",1.24573223497261,1.24573223497261,1.24573223497261,1.24573223497261
"2015-01-01","1.25133772682598","0.579927162874781","2.20108703753016",1.25133772682598,1.25133772682598,1.25133772682598,1.25133772682598
"2016-01-01","1.35408802298483","0.677786600787949","2.29078528430263",1.35408802298483,1.35408802298483,1.35408802298483,1.35408802298483
"2017-01-01","1.32156688330886","0.656293359346806","2.24080285594935",1.32156688330886,1.32156688330886,1.32156688330886,1.32156688330886
"2018-01-01","1.17755031946426","0.548086722976183","2.07500212576678",1.17755031946426,1.17755031946426,1.17755031946426,1.17755031946426
"2019-01-01","1.26907119924571","0.616358367869346","2.17245433615123",1.26907119924571,1.26907119924571,1.26907119924571,1.26907119924571
"2020-01-01","1.54657587336014","0.736438438368078","2.82166372492653",1.54657587336014,1.54657587336014,1.54657587336014,1.54657587336014
"2021-01-01","1.32757686660389","0.66947349172944","2.23730004975577",1.32757686660389,1.32757686660389,1.32757686660389,1.32757686660389
"2022-01-01","1.41289014867865","0.696487107015896","2.41489369457676",1.41289014867865,1.41289014867865,1.41289014867865,1.41289014867865
"2023-01-01","1.34556494517686","0.664007846746909","2.28357325362417",1.34556494517686,1.34556494517686,1.34556494517686,1.34556494517686
