"date","indexP","indexPlower","indexPupper","indexPsmooth7","indexPsmooth15","indexPsmooth30","indexPsmooth60"
"2000-01-01","1.42979845554758","0.620032438430591","2.92531566599772",1.42979845554758,1.42979845554758,1.42979845554758,1.42979845554758
"2001-01-01","1.34518929660285","0.629830906713093","2.4270802893457",1.34518929660285,1.34518929660285,1.34518929660285,1.34518929660285
"2002-01-01","1.28750389540544","0.638730228923927","2.22963578692616",1.28750389540544,1.28750389540544,1.28750389540544,1.28750389540544
"2003-01-01","1.23514420441139","0.611379779722432","2.15568459327321",1.23514420441139,1.23514420441139,1.23514420441139,1.23514420441139
"2004-01-01","1.28468189815116","0.61944270756577","2.25603272754606",1.28468189815116,1.28468189815116,1.28468189815116,1.28468189815116
"2005-01-01","1.25345369570559","0.631014974968367","2.19384352238472",1.25345369570559,1.25345369570559,1.25345369570559,1.25345369570559
"2006-01-01","1.2665898325808","0.619270255526527","2.20454859116021",1.2665898325808,1.2665898325808,1.2665898325808,1.2665898325808
"2007-01-01","1.12379050938056","0.545698539619623","2.02369617030584",1.12379050938056,1.12379050938056,1.12379050938056,1.12379050938056
"2008-01-01","1.18351575652319","0.587401805254494","2.08708564462246",1.18351575652319,1.18351575652319,1.18351575652319,1.18351575652319
"2009-01-01","1.44252097489227","0.670791337314124","2.6530865722367",1.44252097489227,1.44252097489227,1.44252097489227,1.44252097489227
"2010-01-01","1.14591719656124","0.550833379218805","2.0667622612494",1.14591719656124,1.14591719656124,1.14591719656124,1.14591719656124
"2011-01-01","1.2187819815142","0.602065819670435","2.13021828981774",1.2187819815142,1.2187819815142,1.2187819815142,1.2187819815142
"2012-01-01","1.09739366555363","0.520893132367172","1.99270542125742",1.09739366555363,1.09739366555363,1.09739366555363,1.09739366555363
"2013-01-01","1.26884263366283","0.623723027240234","2.18894896444585",1.26884263366283,1.26884263366283,1.26884263366283,1.26884263366283
"2014-01-01","1.22790517079311","0.613283631122573","2.16517743555394",1.22790517079311,1.22790517079311,1.22790517079311,1.22790517079311
"2015-01-01","1.21390829458574","0.58648480578491","2.18051809105536",1.21390829458574,1.21390829458574,1.21390829458574,1.21390829458574
"2016-01-01","1.20494882402689","0.585244785269803","2.15977059440885",1.20494882402689,1.20494882402689,1.20494882402689,1.20494882402689
"2017-01-01","1.16672499788617","0.564096983401531","2.09211245276975",1.16672499788617,1.16672499788617,1.16672499788617,1.16672499788617
"2018-01-01","1.27727569192515","0.628507152233809","2.20190008022955",1.27727569192515,1.27727569192515,1.27727569192515,1.27727569192515
"2019-01-01","1.21717651112666","0.601038735859764","2.18547921667868",1.21717651112666,1.21717651112666,1.21717651112666,1.21717651112666
"2020-01-01","1.06506549244211","0.489985111929935","1.9888415977493",1.06506549244211,1.06506549244211,1.06506549244211,1.06506549244211
"2021-01-01","1.08688464452369","0.522217421338674","1.96096240363759",1.08688464452369,1.08688464452369,1.08688464452369,1.08688464452369
"2022-01-01","1.04211712456772","0.495089168667929","1.90237163162654",1.04211712456772,1.04211712456772,1.04211712456772,1.04211712456772
"2023-01-01","1.08505452913313","0.477030100387396","2.07416203663015",1.08505452913313,1.08505452913313,1.08505452913313,1.08505452913313
