Variable:,pr
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
2009,1310.25,1341.84,1317.52,1225.03,1289.88,1295.99,1294.76,1250.71,1461.44,1396.57,1281.70,1320.64,1155.34,1448.32,1333.64
2010,2330.81,2434.80,2301.42,1726.20,2105.39,2099.38,2395.81,2722.30,2653.54,2699.21,2020.58,2378.72,1767.28,2508.84,2656.34
2011,1924.99,2136.19,1768.55,1601.34,1776.32,1861.94,1914.72,2177.79,2008.18,2067.31,1806.14,1827.23,1620.18,2239.44,2060.84
2012,1296.35,1316.38,1198.71,1122.40,1151.04,1168.24,1254.95,1517.60,1481.02,1484.50,1132.02,1228.01,1075.70,1417.48,1405.22
2013,1416.00,1514.06,1397.92,1349.37,1397.75,1423.95,1402.99,1359.75,1517.84,1448.38,1405.98,1406.31,1276.05,1615.25,1411.70
2014,1403.25,1453.38,1356.08,1317.98,1340.67,1363.13,1393.83,1423.14,1570.22,1477.97,1339.42,1378.16,1236.18,1572.99,1431.25
2015,1320.35,1452.35,1276.11,1221.70,1295.55,1338.20,1282.19,1307.76,1397.87,1361.49,1317.73,1280.50,1175.70,1550.81,1313.24
2016,1303.74,1206.95,1291.54,1079.25,1190.34,1164.79,1359.42,1523.32,1510.61,1504.23,1141.81,1348.73,986.23,1289.79,1507.59
2017,1694.96,1630.31,1685.48,1505.18,1560.94,1520.97,1676.28,1936.79,1975.53,1926.83,1497.46,1715.50,1359.08,1707.36,1854.33
2018,1458.06,1672.95,1398.86,1298.62,1432.12,1488.71,1398.30,1440.64,1507.86,1469.86,1464.79,1407.48,1337.62,1787.16,1437.80
2019,1459.64,1654.88,1456.37,1275.15,1414.93,1446.19,1484.95,1420.22,1587.72,1482.65,1405.91,1478.97,1267.51,1747.66,1475.35
2020,2009.24,2023.24,1937.15,1752.80,1877.45,1905.82,2056.53,2188.44,2253.42,2204.27,1861.39,1993.14,1676.53,2136.17,2166.93
