Variable:,pr
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
2010,1416.30,56.47,1581.92,131.69,3712.47,1129.36,335.35,621.65,2963.07,798.00,560.25,2586.68,125.95,388.59,2112.10,403.49
2011,1397.92,141.70,1616.45,155.10,3571.09,1267.40,318.33,692.79,2667.60,1011.96,576.59,2624.24,260.31,587.79,2154.05,401.73
2012,1506.37,169.28,1710.30,117.62,3616.49,1271.97,240.83,883.10,2994.20,1069.92,716.06,2859.81,310.97,726.12,2388.92,463.88
2013,1382.24,123.35,1477.95,133.20,3356.78,1127.33,257.91,639.60,2904.26,878.74,574.41,2721.54,173.97,493.14,2140.69,393.62
2014,1486.59,81.11,1949.94,98.97,3651.31,1526.93,227.92,832.34,2950.75,1129.15,669.34,2813.29,133.65,350.78,2488.63,408.94
2015,1468.32,172.08,1843.95,217.82,3509.89,1393.33,393.48,867.66,2739.96,1118.02,767.38,2698.58,261.94,556.85,2375.50,513.16
2016,1103.33,62.87,1309.05,157.17,2604.64,987.88,396.52,865.80,2273.40,833.49,882.80,1807.93,147.94,428.57,1581.94,605.06
2017,1623.54,170.67,1784.16,215.16,4156.55,1418.10,370.10,917.09,3054.61,1139.82,749.01,3140.26,221.38,594.95,2436.90,511.25
2018,1456.70,104.47,1839.65,113.74,3668.04,1342.11,244.88,708.79,2895.36,940.76,616.95,2787.68,217.49,535.59,2414.00,372.81
2019,1357.56,129.69,1577.35,82.62,3427.90,1161.62,157.45,437.81,2890.12,701.98,376.64,2526.86,258.45,564.66,2070.90,223.52
2020,1385.50,112.58,1481.23,91.91,3481.99,1108.17,217.73,691.65,2869.80,922.98,554.33,2662.08,293.62,674.73,2090.43,351.97
