Variable:,pr
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
2004,1727.13,1940.84,2544.60,945.64,984.69,1220.16,1264.39,819.41,1006.43,1298.25,943.52,869.52,821.08,881.06,1166.89,908.03,2220.58,1549.01
2005,1986.16,2172.67,2389.02,1441.15,1817.88,1945.18,1704.68,1533.97,1594.32,1657.77,1647.30,1562.21,1515.53,1623.09,1567.40,1434.69,2209.95,1924.09
2006,1691.66,1876.43,2280.13,1038.72,1146.77,1569.02,1227.45,1080.80,1077.96,1359.03,1184.22,1190.48,967.62,1026.75,1270.94,1152.95,1989.22,1513.84
2007,1849.59,1898.14,2294.60,1269.06,1682.45,2046.83,1492.01,1494.20,1410.28,1534.15,1715.91,1496.47,1438.35,1513.31,1432.03,1344.02,2177.43,1766.86
2008,1967.69,2033.10,2346.48,1479.61,1950.38,2046.72,1667.89,1552.49,1732.12,1634.69,1711.16,1530.34,1619.82,1743.55,1571.56,1380.96,2328.45,2122.41
2009,1714.74,1954.12,2388.90,1028.96,1062.94,1329.98,1287.92,1042.18,1082.77,1362.24,1043.93,1077.84,900.33,965.56,1214.90,1053.02,2073.53,1435.46
2010,2146.64,1946.69,2353.31,1947.92,2473.53,2656.57,2057.15,2224.83,2227.23,1722.51,2535.95,2059.17,2329.52,2379.11,1876.19,1621.12,2443.40,2394.74
2011,1861.29,1934.95,2293.56,1271.64,1779.06,2092.36,1528.30,1588.26,1465.98,1500.35,1713.40,1622.45,1470.52,1581.18,1397.88,1345.01,2113.24,1830.73
2012,1643.25,1737.38,2194.83,1089.88,1162.54,1388.84,1274.90,1156.60,1107.91,1459.29,1103.10,1175.08,986.74,1057.99,1295.94,1171.12,2021.08,1462.30
2013,1859.57,2052.89,2432.62,1291.31,1343.24,1404.16,1556.17,1249.95,1433.57,1544.97,1216.79,1212.37,1129.76,1220.44,1451.15,1169.96,2229.61,1794.98
2014,1767.74,1992.95,2344.08,1156.84,1152.47,1423.74,1348.41,1206.20,1184.83,1535.55,1118.26,1263.25,977.98,1045.55,1411.25,1228.70,1975.52,1558.80
2015,1678.93,1806.56,2265.92,1131.10,947.41,1349.34,1394.14,1108.85,1090.39,1499.27,1032.74,1158.04,840.47,883.10,1333.66,1196.99,2040.86,1443.76
2016,1962.65,2098.87,2578.62,1387.01,1543.54,1644.42,1659.52,1358.41,1522.57,1590.62,1443.67,1321.58,1281.07,1383.84,1585.86,1225.05,2234.29,1912.48
2017,2120.25,2135.95,2575.44,1671.83,2021.85,1917.91,1934.29,1625.04,1896.11,1846.34,1715.51,1654.70,1674.32,1818.51,1784.43,1621.15,2533.72,2185.47
2018,1783.55,1928.14,2326.06,1294.91,1255.69,1363.25,1457.57,1153.43,1268.09,1569.02,1204.16,1204.82,1135.64,1193.15,1453.96,1248.65,2124.86,1641.96
2019,1651.13,1788.18,2097.83,1224.13,1202.10,1317.20,1410.67,1065.04,1305.05,1347.28,1159.50,1059.51,1051.52,1106.91,1358.91,1045.75,2058.22,1686.38
2020,2278.89,2405.56,2616.72,1902.72,2193.02,2192.22,2062.24,1806.39,2074.97,1935.27,1981.71,1747.75,1901.01,2023.09,1955.71,1632.93,2572.63,2409.53
