Variable:,pr
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1989,2049.34,2143.00,1015.43,2408.81,2989.62,1103.21,1249.69,1690.20,1242.16,1827.21,1832.96,1955.65,1773.60,1436.72,2437.07,809.32,1896.69,813.77,1462.83,1662.85,951.22,1453.36,2107.21,2467.72,1861.86,1702.21,1024.47,2098.06,2098.06,886.34,886.34,886.34
1990,1709.30,2253.44,557.12,1808.71,2805.89,544.30,587.93,1087.30,1037.74,1317.49,1103.04,1761.98,1588.76,989.65,1858.41,371.99,1920.90,365.47,639.65,1346.18,346.79,1945.48,2016.98,2535.93,2069.00,1452.70,542.01,1318.67,1318.67,707.98,707.98,707.98
1991,1792.03,2083.78,736.91,1789.61,2693.69,798.27,844.32,1517.89,1411.15,1726.10,1416.31,1844.69,1493.66,1507.07,1927.49,545.08,1652.48,559.19,945.27,1723.80,561.15,1510.11,1954.70,2244.19,1627.55,1744.16,727.08,1729.11,1729.11,608.33,608.33,608.33
1992,1820.05,2063.04,794.30,1471.81,2579.01,1098.24,582.71,1951.08,1553.26,1998.60,1253.93,2106.76,1823.68,1669.59,1718.67,479.50,1890.07,580.10,886.00,1745.82,442.46,1799.38,1966.76,1888.04,1979.73,1602.46,765.24,1963.39,1963.39,546.80,546.80,546.80
1993,1774.43,2337.01,530.68,1745.18,2949.09,457.67,381.80,1243.36,914.60,1452.84,1316.70,1757.93,1403.66,1058.20,2095.61,229.80,1814.36,285.41,777.67,1405.95,208.09,1820.58,2049.99,2445.67,1944.97,1603.34,495.97,1520.27,1520.27,541.50,541.50,541.50
1994,1875.22,2301.34,689.36,1848.59,2898.46,708.07,1020.97,1426.77,1066.28,1598.66,1654.87,1823.41,1600.96,1228.41,2166.90,628.36,1815.32,607.00,1075.30,1653.95,674.57,1929.10,2100.90,2308.14,2051.28,1474.48,658.13,1678.52,1678.52,494.24,494.24,494.24
1995,1849.76,1994.69,727.18,1766.80,2583.68,911.04,1089.06,1391.44,1336.67,1619.46,1801.45,1817.39,1542.15,1395.64,2124.83,648.19,1815.19,740.64,1421.30,1805.17,704.40,1718.28,1813.39,2328.47,1994.28,1755.35,666.90,1938.07,1938.07,652.04,652.04,652.04
1996,1900.73,2022.69,903.36,2234.64,2813.48,669.91,1066.15,1275.95,1142.64,1501.21,1798.66,1734.00,1684.48,1229.87,2365.66,636.23,1911.84,623.27,1259.49,1714.63,751.29,1732.10,1919.61,2586.93,2123.66,1748.64,765.87,1745.91,1745.91,819.82,819.82,819.82
1997,1791.82,2102.96,735.25,1779.16,2607.07,979.93,709.25,1630.73,1173.25,1754.71,1416.08,1788.46,1687.75,1361.69,1817.55,440.52,2127.87,646.76,1105.86,1523.76,405.15,2062.86,1940.87,1922.97,2127.34,1747.45,745.03,1766.92,1766.92,656.11,656.11,656.11
1998,1724.06,1987.96,527.22,1666.50,2641.75,709.57,507.27,1302.90,985.75,1382.26,1284.71,1587.93,1623.90,1182.42,1829.30,282.28,2280.54,354.49,882.70,1606.56,323.80,2465.85,1890.36,2384.34,2419.06,1701.84,578.39,1483.54,1483.54,664.18,664.18,664.18
1999,1870.54,1989.85,636.94,2306.81,2890.71,864.53,914.10,1340.30,1158.94,1330.56,1886.30,1577.90,1192.38,1116.57,2570.90,421.18,1454.92,539.32,1241.25,1461.44,451.26,1541.30,1840.41,2785.99,1666.89,1425.51,774.22,1699.70,1699.70,556.86,556.86,556.86
2000,1919.62,2014.38,1053.70,2495.88,2866.55,886.06,959.82,1333.06,1245.80,1599.80,1614.85,1654.38,1548.16,1279.06,2513.42,770.17,1774.43,791.21,1066.99,1392.11,764.23,1854.81,1839.47,2559.63,1880.43,1581.79,958.68,1672.75,1672.75,605.29,605.29,605.29
2001,1764.12,2017.14,669.06,2067.84,2754.90,574.26,694.73,1153.54,1149.46,1321.18,1532.53,1685.46,1545.07,1070.34,2221.46,369.97,1703.25,444.84,934.05,1313.28,407.01,1891.42,1935.59,2163.83,1889.75,1373.64,665.14,1548.08,1548.08,577.55,577.55,577.55
2002,1714.84,2023.03,856.82,2144.05,2675.22,761.06,863.58,1231.87,1184.55,1275.11,1538.17,1478.92,1157.77,1181.77,2018.05,570.74,1534.98,575.27,998.21,1387.90,581.85,2251.09,1827.28,2423.18,1915.70,1232.10,856.71,1413.83,1413.83,488.21,488.21,488.21
2003,1709.60,1983.41,629.30,2009.97,2739.26,558.43,836.11,1032.78,960.94,1280.39,1467.85,1606.89,1338.81,1039.50,2111.93,538.97,1508.93,513.27,911.77,1565.69,608.44,1673.17,1942.14,2336.18,1480.35,1342.07,672.63,1471.13,1471.13,686.78,686.78,686.78
2004,1807.14,1938.04,974.29,2047.95,2605.64,909.27,1058.90,1469.28,1520.15,1507.45,1568.59,1635.26,1163.44,1360.88,2331.85,808.76,1616.83,798.44,1152.59,1732.63,796.95,1316.82,2117.61,2374.57,1813.31,1470.04,867.91,1726.25,1726.25,587.16,587.16,587.16
2005,1775.51,1870.55,791.11,2199.87,2619.57,899.83,545.79,1427.00,1510.01,1526.86,1436.98,1666.79,1299.49,1291.45,2227.31,478.48,1523.37,586.63,983.32,1763.56,405.44,1525.61,1781.40,2638.10,1805.50,1430.02,774.27,1772.01,1772.01,647.53,647.53,647.53
2006,1811.28,1906.09,772.01,2314.11,2666.15,861.73,767.37,1594.58,1376.98,1599.67,1555.04,1763.23,1344.30,1315.78,2326.99,528.48,1261.35,576.90,1074.98,1427.34,508.54,1424.39,1924.11,2667.39,1394.90,1333.85,846.81,1710.72,1710.72,557.81,557.81,557.81
2007,1675.53,1978.61,830.03,2236.69,2616.70,683.18,663.32,941.41,967.91,1169.80,1298.84,1564.94,1305.65,980.17,2106.65,452.76,1452.26,527.81,748.47,1429.14,425.30,1834.06,1849.85,2573.20,1792.75,1387.09,816.12,1326.66,1326.66,415.07,415.07,415.07
2008,1897.84,2115.66,844.39,2384.94,2807.37,762.56,969.24,1333.00,1343.98,1493.60,1649.93,1802.31,1361.34,1370.34,2445.80,915.91,1615.68,808.82,1156.92,1967.72,893.93,1482.49,2015.92,2665.55,1881.60,1432.77,772.43,1704.78,1704.78,662.28,662.28,662.28
2009,1965.52,2329.01,911.20,2036.43,2806.84,865.83,1353.86,1496.99,1426.56,1649.58,1976.78,1853.90,1564.92,1459.31,2422.81,813.39,1944.22,823.06,1409.97,2004.08,1024.92,1655.12,2095.26,1898.26,1892.43,1767.98,878.28,1890.97,1890.97,852.50,852.50,852.50
2010,1685.64,1773.40,890.85,2111.21,2480.52,808.62,624.96,1226.04,1065.70,1330.94,1312.93,1625.50,1259.29,1121.49,2102.74,493.30,1747.27,632.06,838.05,1546.24,422.96,1591.73,1720.49,2680.41,2000.45,1395.02,999.44,1499.93,1499.93,754.29,754.29,754.29
2011,1907.01,2088.72,1046.89,2486.45,2769.22,737.06,1154.75,1424.52,1226.38,1573.75,1718.82,1844.32,1444.67,1297.55,2404.58,823.64,1689.63,703.69,1065.28,1484.49,901.22,1602.06,2102.29,2665.08,2127.72,1503.60,887.75,1843.62,1843.62,626.50,626.50,626.50
2012,1640.10,2283.05,469.87,1811.35,2711.13,465.84,382.26,1081.40,880.92,1178.96,1189.87,1641.66,1302.62,977.89,2018.73,263.06,1495.64,246.57,579.63,1319.11,303.81,1337.22,2076.89,2483.90,1580.88,1408.01,492.28,1393.99,1393.99,490.27,490.27,490.27
2013,1873.91,2208.47,689.83,2255.67,2853.40,780.72,543.32,1473.24,1406.75,1553.68,1455.52,1984.59,1350.87,1264.53,2313.87,373.57,1845.83,461.23,884.81,1705.32,342.83,1523.72,2317.44,2362.69,1874.77,1422.96,676.18,1724.15,1724.15,672.54,672.54,672.54
2014,1758.45,2346.06,802.87,2251.11,2900.90,638.96,611.99,1204.58,868.18,1255.61,1365.62,1845.96,1388.67,799.74,2062.10,462.49,1651.73,483.48,722.73,1031.37,492.87,2032.82,2316.53,2182.09,1928.78,1080.15,738.69,1444.69,1444.69,538.17,538.17,538.17
2015,1609.16,2223.27,549.71,2051.10,2661.39,476.15,622.05,1056.74,690.43,1185.21,1101.65,1514.87,1525.10,884.98,1681.66,366.56,2164.39,371.83,619.24,1317.91,455.81,2137.56,2000.17,1785.96,2306.27,1624.62,609.73,1248.99,1248.99,809.89,809.89,809.89
2016,1741.30,1938.47,549.80,2066.84,2722.57,740.48,669.27,1233.30,966.75,1372.17,1271.53,1778.26,1450.91,1161.97,2056.66,466.57,1722.03,467.02,830.08,1461.35,535.24,1519.16,2189.91,2297.56,1751.27,1435.49,557.99,1436.00,1436.00,571.64,571.64,571.64
2017,1748.63,2240.90,859.87,2522.08,2746.12,564.66,786.91,1157.76,878.78,1265.43,1455.86,1671.90,1537.64,903.08,2162.24,501.12,1652.20,470.71,844.03,1117.99,672.90,1764.34,1981.13,2508.82,1757.16,1338.80,731.66,1538.24,1538.24,467.02,467.02,467.02
2018,1799.52,2149.76,617.43,2868.77,2740.94,702.64,869.63,1173.04,1299.09,1333.72,1618.66,1765.70,1374.71,1175.71,2275.46,552.94,1394.08,549.02,956.56,1576.69,677.53,1505.89,2095.57,2461.55,1549.18,1142.78,541.40,1604.16,1604.16,587.30,587.30,587.30
2019,1670.12,2230.35,710.87,2131.38,2882.99,553.46,942.20,876.61,887.29,1005.69,1497.99,1404.08,1014.76,880.12,2057.84,615.39,1392.41,563.06,808.79,1355.14,732.96,1660.18,1998.31,2507.66,1636.95,1151.68,684.14,1274.90,1274.90,882.96,882.96,882.96
2020,1667.65,1741.39,914.61,2369.48,2526.27,985.77,971.22,1284.21,1245.25,1294.56,1611.78,1353.70,920.53,1261.78,2164.44,785.76,1226.53,744.58,1162.88,1707.01,778.05,1186.76,1690.51,2341.12,1366.22,1117.35,874.88,1495.07,1495.07,710.63,710.63,710.63
