Variable:,pr
,Venezuela,Amazonas,Anzoategui,Apure,Aragua,Barinas,Bolivar,Carabobo,Cojedes,"Delta Amacuro","Dependencias Federales",Falcon,Guarico,Lara,Merida,Miranda,Monagas,"Nueva Esparta",Portuguesa,Sucre,Tachira,Trujillo,Yaracuy,Zulia,Vargas,"Distrito Capital"
1993,2228.34,3425.31,1103.01,2536.37,1330.62,2322.63,2245.48,1462.68,1603.55,1408.16,515.23,953.26,1388.10,1006.90,2963.39,1384.55,1056.01,347.28,1850.96,1182.25,2939.12,2573.50,1342.83,2577.40,978.92,1178.65
1994,2090.53,3253.21,918.51,2400.32,1165.78,2092.60,2085.05,1431.36,1555.54,1379.04,534.11,781.80,1308.10,900.52,2956.37,1235.78,1013.56,346.25,1761.94,1105.96,2938.62,2545.63,1348.38,2410.50,890.20,1012.94
1995,2064.65,3098.59,1086.80,2247.59,1265.80,1999.65,2121.67,1386.96,1496.59,1263.62,722.98,1013.79,1372.43,1033.29,2724.67,1358.29,1016.02,507.03,1630.79,1217.08,2629.88,2606.54,1225.82,2429.85,1083.95,1169.62
1996,2220.54,3419.08,1179.06,2284.99,1310.32,2134.60,2303.09,1553.76,1485.20,1537.56,739.82,921.86,1441.15,976.82,2847.45,1526.38,1143.51,502.31,1748.26,1347.45,2816.42,2509.07,1458.03,2466.76,1113.58,1234.60
1997,1856.03,2908.28,876.03,2019.71,1033.26,1795.38,1869.09,1357.90,1374.61,1520.36,501.81,743.01,1129.07,781.08,2406.54,1239.02,1053.48,363.84,1543.72,1195.11,2336.13,1905.42,1283.78,1898.01,862.16,992.70
1998,2313.20,3507.72,1210.10,2378.02,1388.09,2313.46,2390.97,1555.35,1659.15,1585.84,696.16,952.89,1435.98,1031.19,3166.63,1534.33,1225.76,572.89,1855.67,1483.56,2914.96,2803.19,1358.84,2761.03,1205.39,1318.68
1999,2352.36,3600.64,1281.01,2209.46,1488.09,2078.47,2497.62,1626.76,1557.68,1724.85,1085.64,1169.21,1465.46,1128.86,3168.90,1643.71,1308.63,791.55,1670.10,1579.14,2987.16,2854.61,1455.63,2587.65,1452.64,1465.93
2000,2176.03,3537.80,1046.88,2201.57,1216.25,1951.09,2209.97,1496.29,1367.19,1652.70,961.09,909.63,1329.50,918.38,2733.02,1496.29,1099.80,648.71,1575.44,1461.52,2780.04,2239.14,1417.79,2337.77,1170.71,1186.79
2001,1972.06,3289.91,918.04,2067.45,1164.90,1882.69,1959.41,1420.88,1467.32,1335.49,648.45,685.24,1220.80,725.09,2333.45,1239.77,961.26,452.43,1594.32,1213.08,2297.92,1999.87,1196.55,2097.15,922.64,1026.11
2002,2164.13,3416.07,932.06,2270.41,1251.63,2115.69,2232.22,1591.86,1716.11,1753.57,641.28,844.71,1370.23,912.98,2558.90,1366.72,1169.51,413.34,1850.49,1320.10,2489.67,2148.72,1510.06,2128.78,959.12,1106.18
2003,2246.55,3518.83,1140.43,2340.53,1381.70,2199.62,2313.81,1492.93,1645.39,1451.20,721.19,977.97,1505.15,962.01,2761.39,1424.84,1119.42,457.51,1730.13,1271.44,2786.51,2403.93,1316.54,2455.40,1051.60,1220.36
2004,2340.57,3350.47,1332.78,2486.00,1543.08,2343.85,2422.51,1691.53,1842.06,1669.62,1002.85,1177.33,1669.07,1116.85,2944.91,1804.62,1371.90,763.91,1986.58,1639.48,2824.37,2574.38,1593.42,2608.24,1394.38,1477.36
2005,2201.38,3191.59,1227.46,2075.05,1458.13,2018.43,2281.11,1617.58,1682.82,1630.52,978.43,1302.36,1518.01,1212.95,2954.68,1686.55,1239.39,711.47,1670.55,1552.78,2805.32,2683.93,1454.54,2730.55,1397.32,1460.42
2006,2269.29,3452.94,1220.29,2102.02,1336.33,2146.26,2433.26,1526.24,1636.30,1550.38,705.78,918.24,1444.44,1060.00,2995.76,1524.74,1159.83,525.68,1765.50,1328.94,3058.00,2705.25,1374.55,2631.10,1149.34,1259.77
2007,2273.31,3461.45,1233.33,2167.07,1282.87,1988.30,2496.67,1298.19,1432.82,1675.36,806.25,972.93,1420.08,889.48,2636.79,1506.68,1278.30,678.45,1599.35,1477.84,2578.95,2468.82,1167.74,2669.76,1099.80,1216.35
2008,2381.25,3566.80,1340.63,2288.88,1434.42,2180.28,2523.95,1662.92,1703.01,1805.71,1089.88,1222.07,1507.69,1239.95,3080.79,1684.54,1359.86,764.48,1881.93,1525.30,2909.83,2719.55,1556.86,2573.20,1419.82,1442.98
2009,1872.67,2980.24,829.08,1867.38,1107.90,1769.53,1799.32,1431.61,1363.22,1373.59,574.52,829.97,1135.77,934.65,2759.67,1263.75,950.88,412.31,1529.38,1216.44,2684.08,2521.34,1364.94,2374.28,981.82,1065.89
