Variable:,pr
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1999,1866.07,2667.22,2347.41,1854.52,1947.51,2281.99,2613.14,1683.99,1882.76,2183.35,1858.44,2177.44,2005.72,2005.72,1828.58,1359.06,1431.91,2317.88,2368.25,2051.49
2000,1413.23,1944.44,1516.92,1373.28,1443.86,2139.27,2043.83,1105.24,1657.49,1541.26,1270.85,1450.93,1593.46,1593.46,1573.31,999.33,874.93,1905.58,1492.82,1527.21
2001,1482.44,2265.25,1324.89,1762.96,1429.13,1906.98,2154.58,1055.86,1848.11,1428.02,1587.97,1360.30,1376.14,1376.14,1279.85,1101.43,852.01,1929.06,1347.41,1662.39
2002,1466.25,1916.43,1404.78,1479.74,1335.19,1774.98,1933.93,1183.72,1793.57,1352.39,1195.60,1335.34,1376.47,1376.47,1318.38,1240.93,1111.09,1736.80,1451.20,1571.62
2003,1613.17,2692.97,1719.16,1765.30,1604.04,1994.88,2370.91,1339.24,1834.93,1608.98,1898.55,1649.93,1545.32,1545.32,1434.96,1137.37,1053.48,1987.95,1731.79,1884.16
2004,1480.02,2153.21,1294.18,1467.29,1470.14,1953.63,2292.98,1105.45,1864.65,1458.81,1337.04,1364.16,1469.91,1469.91,1441.49,1115.23,891.97,1928.19,1382.46,1654.68
2005,1985.41,2654.05,2077.67,2223.98,1923.28,2232.59,2439.48,1741.12,2238.29,2080.19,2136.81,2098.96,1983.44,1983.44,1907.79,1602.73,1485.30,2237.86,2241.31,2114.35
2006,1684.08,2365.06,1740.90,1677.68,1726.77,2233.92,2452.47,1336.08,1916.06,1774.93,1596.69,1687.48,1772.46,1772.46,1759.40,1268.13,1128.95,2123.41,1754.00,1919.99
2007,1711.53,2321.26,2020.47,1868.00,1483.71,1851.62,2012.17,1499.08,2046.67,1680.93,1825.28,1649.72,1577.41,1577.41,1515.16,1420.78,1402.83,1773.58,1929.15,1731.60
2008,1924.93,2694.91,2043.65,1969.79,1911.88,2402.16,2471.60,1616.96,2091.75,2187.30,1809.46,2091.84,2097.42,2097.42,1939.43,1524.39,1413.48,2325.78,2206.46,2054.95
2009,1453.74,1966.68,1390.98,1405.03,1387.02,1814.97,1887.78,1174.89,1835.86,1487.02,1295.15,1392.17,1453.19,1453.19,1411.98,1167.76,1034.17,1706.76,1283.41,1573.64
2010,1937.62,2397.56,2721.65,2025.03,1838.99,2177.78,2211.53,1909.97,1917.77,2174.63,1792.93,2215.49,2010.24,2010.24,1830.05,1560.04,1707.54,2187.42,2714.69,1940.61
2011,1794.73,2202.10,2358.69,1805.40,1714.40,2232.49,2257.61,1608.94,2021.19,1945.16,1719.62,1927.50,1928.61,1928.61,1788.91,1388.23,1426.06,2149.93,2218.48,1711.99
2012,1522.18,1891.13,1553.93,1527.84,1462.53,1955.97,2068.77,1286.19,1755.80,1543.03,1362.01,1454.04,1495.27,1495.27,1379.41,1250.39,1146.15,1935.88,1528.93,1601.98
2013,1673.09,2343.91,1502.40,1782.25,1500.47,2187.16,2345.78,1238.17,2118.71,1579.20,1721.37,1435.79,1629.59,1629.59,1597.28,1344.96,1140.47,2107.18,1396.12,1761.24
2014,1644.73,2425.55,1520.64,1543.56,1681.22,2154.47,2443.75,1323.40,1943.96,1695.61,1524.10,1627.79,1664.65,1664.65,1564.30,1255.20,1158.40,2167.76,1462.59,1811.76
2015,1523.22,1887.70,1387.19,1482.97,1450.45,1944.81,2063.91,1214.61,1873.62,1498.52,1257.65,1381.33,1482.88,1482.88,1420.18,1289.61,1156.81,1906.94,1321.65,1558.75
2016,1606.68,2179.27,1640.14,1727.93,1449.93,1882.26,2146.82,1285.80,2016.87,1454.45,1555.00,1424.89,1413.59,1413.59,1318.24,1335.80,1212.06,1877.93,1545.96,1627.47
2017,1984.14,2391.26,2040.29,2088.78,1875.39,2264.07,2374.37,1807.95,2225.14,1951.78,1816.17,1927.28,1913.02,1913.02,1727.46,1761.63,1649.99,2218.77,1988.74,1997.60
2018,1556.88,1978.11,1494.88,1671.18,1388.78,1816.41,1896.85,1316.80,1941.40,1452.25,1536.27,1432.41,1442.37,1442.37,1450.90,1339.82,1226.63,1709.03,1480.00,1546.90
2019,1314.35,1414.82,1385.70,1152.36,1322.02,1766.34,1547.41,1159.07,1617.46,1540.60,922.65,1532.71,1482.96,1482.96,1447.01,1053.23,1004.90,1571.27,1452.25,1232.34
2020,1987.11,2530.98,2154.91,1891.60,1936.85,2443.33,2503.04,1848.97,2157.23,2071.74,1895.88,2071.44,2056.04,2056.04,1949.95,1660.76,1664.72,2339.50,2203.40,2029.81
