Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1987,3488.67,3256.90,3969.88,2731.13,1685.05,3128.83,2318.02,6772.37,5237.91,3021.73,2642.46,6772.37,2816.92,10974.08,2818.09,2597.41,2966.46,1710.14,2663.85,2664.70,2502.88,2805.84,6008.59,2606.23,3384.47,7591.20,9120.97,1829.78,3565.02,2712.39,3090.90,10169.73,2955.16,2880.10
1988,3619.89,3145.42,4607.52,2711.81,2098.08,3443.84,2627.49,6961.85,5822.47,2888.67,2638.47,6961.85,3020.18,12008.69,2944.66,3187.91,3064.01,1822.76,2619.49,2719.85,2807.54,2632.31,5542.94,3062.49,3425.16,8553.46,9327.13,1690.79,4188.21,2798.12,3699.68,10736.39,3075.30,2785.75
1989,3468.95,3355.50,3909.50,2738.58,1777.77,3130.04,2441.04,6561.59,5348.83,3045.39,2515.76,6561.59,2687.99,10773.78,2763.44,2819.60,3055.31,1409.45,2734.58,2614.97,2435.84,2773.21,5488.57,2745.44,3601.96,7744.86,8710.83,1680.98,3918.67,2674.07,3261.42,9803.37,3194.78,2843.54
1990,3440.03,3270.99,3794.76,2975.89,1484.43,2827.30,2491.26,6021.04,5140.70,3092.41,2450.58,6021.04,2426.82,11281.43,2711.67,2693.08,3191.93,1593.45,2896.61,2578.85,2208.57,2888.38,5101.86,2858.29,3542.72,7121.18,8493.86,2029.86,3537.07,2511.16,3023.33,9282.19,3238.02,2964.45
1991,3501.71,3170.45,3871.54,3152.95,1382.34,2953.60,2611.84,6657.48,5274.14,3001.59,2770.11,6657.48,2376.00,10491.35,2678.68,2962.27,3143.37,1203.79,2816.76,2824.88,2209.04,2918.53,6006.34,2777.26,3405.02,7411.96,8493.64,1718.34,3792.44,2463.30,3324.51,9752.33,3066.97,3220.30
1992,3329.35,2978.92,3773.33,2737.00,1455.74,2902.95,2279.92,6427.24,4786.71,2910.80,2553.93,6427.24,2466.56,11059.50,2680.70,2440.01,2872.23,1324.50,2729.37,2327.96,2222.33,2695.44,5659.81,2598.23,3345.15,7103.67,8262.95,1537.51,3515.07,2529.42,2774.66,9819.96,2872.64,2943.05
1993,3603.88,3417.38,4056.73,2917.13,1630.05,3301.76,2535.75,6695.83,5328.99,3168.79,2702.47,6695.83,2834.92,11164.31,2902.24,2802.17,3132.82,1472.38,2935.88,2665.67,2434.77,2994.58,5775.06,2806.67,3509.31,7703.38,8869.06,1813.32,3919.09,2826.61,3131.82,9805.41,3178.17,3180.36
1994,3633.62,3586.35,4064.10,2728.41,1331.79,3159.46,2637.44,6614.09,5500.62,3301.43,2693.41,6614.09,2589.26,12301.72,2877.85,2951.69,3137.89,1190.02,2980.65,2839.77,2125.78,3063.95,5781.87,2734.72,3701.92,7978.87,9246.35,1701.06,3966.90,2579.03,3428.53,10024.61,3252.02,3065.11
1995,3421.98,2963.33,4134.56,2525.78,1729.30,2979.95,2385.72,7208.86,5155.61,2783.86,2385.18,7208.86,2714.74,12144.38,2641.75,2877.72,2796.89,1547.79,2571.43,2432.32,2343.13,2515.40,6267.93,2781.18,3059.64,7639.33,8850.77,1916.01,3802.87,2439.25,3292.88,10827.87,2807.89,2594.29
1996,3505.74,3289.65,4067.81,2582.08,1469.57,3067.18,2422.59,6692.85,5309.68,2978.28,2494.81,6692.85,2628.07,12582.57,2775.34,2933.43,3037.13,1407.25,2845.65,2587.78,2352.80,2783.13,5370.09,2745.95,3339.92,7951.14,9352.21,1894.67,3968.74,2610.27,3456.48,10503.97,3135.51,2804.05
1997,3082.17,2974.77,3319.77,2321.49,1013.53,2494.80,2123.45,6264.82,4718.08,2733.99,2191.28,6264.82,1877.41,9217.08,2301.69,2363.16,2785.27,1006.18,2565.43,2289.51,1653.32,2436.40,6677.62,2110.18,3094.00,7011.55,8425.56,1422.19,3121.65,1970.78,2727.56,9117.79,2824.24,2603.24
1998,3709.34,3242.19,4254.89,2761.37,1646.96,3021.68,2546.81,7634.82,5850.90,3108.20,2734.78,7634.82,2818.89,11104.01,2829.36,2968.72,3113.03,1633.10,2869.77,2563.31,2433.32,2869.07,6743.26,2984.32,3412.12,8610.02,10617.11,1964.94,4283.43,2485.14,3454.14,11631.74,3093.27,3054.66
1999,3584.30,3066.60,4254.73,2577.98,1718.54,3111.11,2482.28,7584.60,5678.05,2884.75,2467.24,7584.60,2645.75,12006.32,2908.85,3069.99,3017.80,1630.00,2693.61,2703.39,2396.59,2658.22,6551.77,2907.56,3398.31,8566.84,9887.22,1996.60,4126.50,2540.19,3595.52,11177.54,2956.23,2737.25
2000,3605.54,3278.60,4104.84,2480.03,1293.55,2918.39,2264.82,7471.41,5440.19,3046.65,2516.12,7471.41,2300.41,14165.79,2633.26,2936.48,3038.48,1234.20,2924.86,2546.74,2073.95,2903.30,6205.19,2509.35,3352.63,8370.16,9978.16,1649.81,4117.95,2288.50,3497.86,11675.15,3080.13,2922.61
2001,3291.80,3022.54,3775.53,2282.36,1182.16,2677.20,2002.37,6868.42,4846.92,2809.28,2193.26,6868.42,2104.87,12755.24,2429.22,2412.86,2903.57,1114.75,2620.86,2171.02,1827.60,2576.50,5789.13,2123.22,2869.63,7308.40,9433.67,1953.11,3546.24,2180.25,2767.57,10843.36,2830.79,2726.89
2002,3285.87,3011.12,3520.75,2486.09,1082.54,2573.40,2127.50,6841.18,4545.67,2769.81,2418.68,6841.18,2011.16,11375.07,2347.55,2449.25,3197.98,1168.80,2699.25,2112.13,1792.69,2610.37,6391.53,2250.78,2882.67,6886.23,8743.57,1670.61,3426.61,2067.41,2686.54,10404.02,2967.00,2879.84
2003,3422.75,2953.70,3881.12,2609.77,1659.39,2882.68,2311.96,7241.19,4879.94,2798.33,2473.63,7241.19,2529.96,11864.99,2773.17,2525.41,3104.96,1560.29,2717.01,2243.19,2254.39,2620.12,6801.31,2637.10,2967.88,6922.75,8686.54,1938.58,3520.59,2520.34,2742.87,10936.88,2889.51,2932.51
