Variable:,pr
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1996,832.78,969.09,991.37,607.08,1448.40,311.13,956.29,1796.36,1169.22,1643.90,967.27,601.84,827.46,568.40,2318.10,482.82,284.11,1023.98,549.32,754.01,493.77,1182.75,1055.09,709.29,1655.62
1997,919.67,970.58,996.82,637.11,1106.07,562.17,1133.94,1784.56,1193.11,1378.13,970.87,725.61,823.62,940.11,2329.44,893.27,529.00,1038.18,718.27,952.66,550.43,1180.52,1042.95,761.35,1656.62
1998,855.93,819.79,1057.38,637.49,1456.13,323.92,963.36,2289.26,1426.48,1690.14,857.73,559.62,879.71,634.75,2738.73,408.10,279.17,970.36,612.78,861.68,536.59,1345.93,958.99,614.27,1854.81
1999,853.71,837.33,974.89,748.93,1091.86,415.79,1157.02,1475.21,1108.68,1230.79,935.77,861.44,951.48,834.72,1799.85,717.73,511.29,1002.37,676.17,981.51,408.13,1047.21,1061.62,660.90,1776.96
2000,959.02,951.30,1204.24,665.01,1556.68,467.73,1142.12,1899.28,1579.38,1442.50,951.23,694.09,911.86,808.38,2092.85,820.73,440.34,1104.56,663.49,896.14,524.32,1527.32,1354.40,745.33,1981.74
2001,940.85,1197.42,1343.75,726.96,1109.44,440.81,1150.96,1833.50,1534.35,1255.43,948.47,830.28,876.79,799.73,2101.54,850.29,496.69,978.08,586.78,877.60,498.17,1385.97,1136.28,675.01,1778.43
2002,950.74,1133.56,1464.23,576.13,1376.51,514.34,1104.44,2308.38,1865.32,1267.65,868.61,568.64,759.43,755.85,2228.84,852.63,407.47,913.68,625.66,831.59,573.73,1605.39,1111.16,662.40,1668.53
2003,754.26,879.22,1195.36,442.36,1287.14,397.03,819.80,1623.75,1393.83,1386.46,823.56,329.41,549.81,367.54,1711.17,562.66,296.81,987.79,355.60,461.72,585.79,1248.04,985.77,813.83,1379.45
2004,738.12,851.44,885.07,534.94,944.15,410.69,816.73,1104.49,905.99,1070.27,903.54,735.13,682.56,694.80,1496.38,762.42,466.05,908.90,537.65,805.72,447.64,886.92,836.17,663.45,1382.05
2005,745.91,722.20,1019.22,556.64,1056.19,436.98,811.77,1406.10,1173.66,1137.96,962.87,418.03,629.64,686.65,1790.34,836.52,387.48,1057.66,539.83,585.32,469.66,1033.55,871.22,697.44,1440.71
2006,759.71,814.83,877.87,539.29,1120.13,476.36,856.49,1243.77,1091.10,1211.03,983.68,485.58,542.83,547.90,1670.49,837.32,420.89,1168.89,416.41,544.52,526.04,997.11,880.52,851.85,1551.66
2007,783.27,899.85,1301.06,528.66,1209.85,286.75,908.04,1566.40,1335.71,1284.39,934.75,523.63,641.81,620.85,1916.31,526.44,282.21,996.60,543.47,792.73,471.21,1236.39,1011.40,797.64,1583.94
2008,687.18,665.25,566.08,641.97,924.17,394.15,706.65,1214.70,655.84,1010.10,998.71,467.51,771.16,648.01,1521.10,710.65,318.20,1066.90,644.13,641.66,491.76,644.96,839.50,683.72,1715.38
2009,680.47,676.87,1162.27,443.78,971.95,388.04,652.92,1415.29,1268.44,1087.33,929.09,341.62,489.07,457.06,1801.28,710.33,281.94,956.07,405.40,500.75,540.34,1070.78,789.02,771.87,1387.42
2010,706.67,789.03,1024.37,445.17,1119.93,358.57,735.31,1498.53,1188.67,1084.61,752.44,434.69,583.89,431.93,2101.85,557.07,363.42,800.07,418.99,548.28,530.23,1078.55,908.77,704.22,1442.74
2011,682.92,705.66,810.10,616.57,1049.57,346.28,626.13,1396.96,1032.95,1082.78,953.20,442.31,633.02,446.46,1868.84,567.34,286.78,963.03,540.55,491.99,506.96,912.87,820.68,659.93,1573.79
2012,772.13,1092.10,1342.15,480.05,915.83,413.61,951.26,1321.14,1472.92,1088.77,922.98,636.77,512.65,548.11,1419.50,601.58,354.85,916.87,391.15,694.51,550.34,1209.92,731.71,721.74,1248.30
2013,625.55,646.50,800.07,442.95,869.05,402.96,594.21,1438.83,958.31,991.77,752.80,398.36,490.86,492.32,1922.16,607.60,319.14,695.05,448.46,447.68,511.72,937.53,571.52,686.91,1113.69
2014,864.40,1016.02,1454.41,502.14,1237.68,430.46,932.22,1924.01,1542.29,1232.02,862.99,586.82,681.92,605.57,2340.87,752.64,547.08,883.86,499.27,686.06,540.68,1361.28,1110.26,803.72,1492.70
2015,821.71,760.71,712.59,555.83,1303.37,351.46,930.37,1885.68,1194.72,1536.64,922.99,583.64,739.34,721.51,2654.28,679.38,335.05,1012.20,622.73,799.72,527.26,1185.19,939.01,668.46,1554.41
2016,808.22,813.26,972.79,537.23,1307.80,348.99,916.07,1554.21,1324.03,1288.05,867.10,713.28,727.50,800.73,1796.93,594.21,460.84,966.28,647.62,817.82,386.75,1226.05,955.56,621.91,1637.54
2017,828.30,971.41,990.27,531.16,1185.40,517.62,813.26,1662.50,1328.12,1310.26,845.68,651.34,647.43,584.43,1961.62,645.92,402.22,990.18,468.46,772.32,657.32,1185.57,920.32,798.34,1445.26
2018,739.66,853.01,948.44,498.18,1145.26,378.48,750.57,1213.78,1083.38,1338.41,1011.47,431.84,581.09,497.34,1731.98,717.73,397.30,1114.15,483.05,528.77,502.75,1043.01,896.57,654.73,1393.90
2019,698.63,665.62,993.73,480.24,1100.03,351.78,811.16,1579.90,1454.68,1226.14,799.71,326.77,565.01,378.69,1671.38,567.08,291.01,890.31,390.46,454.57,531.55,1210.60,850.11,780.36,1328.19
2020,582.59,716.90,605.80,443.08,716.16,344.25,575.60,944.90,760.35,775.26,807.04,418.93,465.12,405.10,1280.16,615.71,333.53,763.50,328.72,396.74,508.33,764.60,687.41,738.60,1208.96
