Variable:,pr
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1989,821.64,536.55,104.69,152.45,1051.75,1844.46,500.41,319.05,1409.65,1437.63,721.14,626.62,1624.12,1004.92,1002.41,1329.65,1264.06,1491.73,1124.58,515.73,1804.30,1245.31,747.79,1152.89,621.85,945.14,411.78,1710.45,639.52,1020.35,1678.37,908.71,478.54
1990,921.90,809.72,115.28,228.74,969.74,1693.29,660.78,537.97,1340.31,1682.17,924.26,857.28,1636.63,1261.48,1144.47,1546.65,1363.60,1353.08,1220.31,600.44,1620.61,1269.27,942.73,1222.65,784.11,1073.37,554.48,1631.70,727.76,1140.86,1847.82,829.53,699.33
1991,925.93,906.68,205.86,167.33,891.47,1554.07,750.98,590.18,1140.05,1547.79,997.47,949.37,1389.30,1323.50,1097.95,1455.12,1279.65,1428.30,1087.46,730.90,1541.63,1424.67,1086.18,1071.60,944.30,927.52,469.29,1528.42,868.31,1218.84,1856.96,853.71,826.35
1992,943.93,902.61,304.36,258.94,964.87,1855.97,510.72,427.52,1747.53,1690.93,766.62,997.45,1605.67,1442.37,1353.75,1550.97,1649.28,1274.43,1491.93,800.28,1627.29,1352.34,1092.80,1071.23,932.58,976.00,556.46,1682.24,975.11,1247.96,1877.40,764.70,724.62
1993,869.60,659.92,289.65,196.79,956.54,1769.63,552.23,379.61,1594.66,1254.13,778.88,763.20,1413.53,1337.15,1098.41,1180.38,1332.63,1008.55,1202.66,634.55,1656.68,1192.34,995.52,1323.74,780.28,892.10,516.17,1591.05,817.98,1017.58,1800.42,911.98,522.08
1994,721.62,724.57,193.03,176.48,791.69,1346.36,430.11,380.06,972.38,1454.03,708.33,731.17,1025.08,1026.66,904.25,1295.43,973.13,1121.12,978.62,670.13,1155.85,1078.39,816.93,890.12,698.03,791.29,472.96,1233.11,832.81,1049.84,1314.01,730.74,632.39
1995,837.21,659.31,188.59,158.24,1204.86,2153.58,371.09,314.61,1482.02,1648.16,615.65,740.20,1660.58,1124.20,1106.53,1497.31,1362.25,1424.74,1216.96,584.75,1846.87,1308.45,843.78,1255.90,629.46,699.05,343.77,1940.82,728.91,1158.25,1685.19,901.17,512.23
1996,813.52,736.53,88.72,148.70,906.58,1880.22,492.85,346.58,1681.13,1328.90,744.27,735.97,1591.18,1042.44,1149.70,1256.34,1445.79,1071.54,1190.19,496.42,1754.60,1172.41,829.49,982.19,684.99,873.10,325.59,1624.13,642.94,1035.47,1585.51,614.80,623.48
1997,851.67,601.25,204.02,181.73,941.17,1839.86,481.90,451.73,1377.24,1512.96,723.04,693.86,1527.94,1109.54,1063.12,1364.09,1302.83,1192.36,1238.26,731.59,1786.79,1221.41,800.53,1099.92,780.69,907.73,383.05,1658.14,876.44,1114.65,1733.81,779.74,510.98
1998,798.10,540.69,178.89,130.03,1006.07,2025.56,356.56,382.80,1591.29,1281.72,546.67,681.89,1446.36,1115.68,1091.60,1296.87,1334.45,1058.52,1307.86,489.95,1765.16,1193.05,825.10,1263.06,655.95,777.94,324.75,1592.55,693.74,952.16,1807.50,865.42,415.91
1999,787.35,501.65,92.44,83.51,1122.09,1951.90,384.01,332.97,1695.79,1176.91,607.17,587.49,1488.86,999.60,1048.93,1163.57,1250.78,1119.00,1229.01,477.19,1923.23,1181.00,719.27,1258.91,526.75,754.60,271.78,1818.85,653.49,988.69,1798.14,901.15,418.67
2000,746.45,501.65,94.70,104.68,896.81,1818.46,405.64,394.10,1271.30,1304.34,699.98,556.60,1345.32,876.39,952.19,1204.86,1176.63,1130.01,1224.82,509.79,1601.21,1048.99,622.74,979.93,513.65,787.90,354.22,1633.93,606.98,944.11,1609.96,586.80,465.35
2001,748.91,610.78,156.02,242.84,968.00,1706.27,355.40,328.21,1223.06,1431.43,618.35,665.51,1309.32,1106.09,961.13,1341.16,1208.39,1096.16,1042.17,559.06,1559.91,1168.41,804.53,939.25,618.56,645.16,305.13,1708.97,685.61,1046.81,1788.52,680.90,492.11
2002,760.00,735.53,76.26,93.13,989.64,1781.97,373.87,379.10,1218.43,1316.31,637.05,754.29,1389.49,1016.30,1008.32,1271.25,1307.85,1104.35,920.81,716.25,1511.51,1119.04,839.10,1046.54,689.85,481.29,250.36,1653.18,756.20,1005.87,1523.65,1076.58,622.55
