Variable:,pr
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1994,2464.72,3055.94,1713.41,1744.03,799.53,1596.48,2170.90,1118.01,2694.98,1852.07,2834.76,492.59,2660.45,1659.99,843.10,1322.70,3367.16,2580.44,734.21,2978.98,1025.85,2007.44,3045.79,520.65,783.20,2771.44
1995,2048.76,2443.01,1378.64,1401.39,610.77,1231.84,1644.70,805.88,2437.40,1463.08,2357.44,328.04,2346.36,1281.59,640.78,976.41,2758.74,2411.53,475.31,2524.31,789.32,1802.14,2517.66,326.42,638.39,2293.34
1996,2139.19,2551.29,1430.71,1498.77,720.96,1377.28,1663.79,954.58,2445.69,1584.20,2475.27,371.41,2352.41,1301.93,552.00,1042.94,2956.94,2318.09,594.53,2574.97,662.99,1818.44,2582.79,404.13,458.00,2428.15
1997,2121.51,2507.52,1426.66,1486.39,747.71,1381.03,1680.05,947.68,2530.79,1612.95,2434.27,344.15,2427.54,1320.49,684.68,1057.12,2759.27,2438.99,610.41,2691.02,1100.45,1956.55,2406.77,491.22,1547.32,2464.15
1998,2233.45,2657.90,1641.03,1329.67,652.95,1294.97,2102.36,867.29,2485.26,1562.48,2348.88,360.04,2422.61,1635.24,3172.72,1214.16,2958.35,2359.52,466.74,2527.31,2391.28,1785.42,2436.31,338.80,2769.02,2349.34
1999,2128.19,2644.93,1537.07,1490.92,811.61,1408.78,1903.05,930.09,2355.54,1630.74,2478.52,426.58,2417.87,1474.52,836.60,1168.31,2841.67,2224.09,649.56,2665.51,893.56,1699.82,2577.60,500.08,778.75,2406.22
2000,2170.39,2645.70,1553.46,1559.81,802.91,1445.63,1811.92,993.69,2412.05,1648.92,2439.23,407.29,2395.58,1419.22,804.94,1177.12,2988.10,2190.27,679.36,2597.11,799.98,1800.70,2548.45,518.73,667.51,2415.13
2001,2079.03,2577.40,1574.96,1490.94,857.74,1470.33,1898.51,1081.13,2307.52,1714.56,2357.22,414.72,2300.21,1484.63,946.39,1183.62,2696.56,2269.67,736.93,2537.36,1056.34,1790.80,2331.46,559.07,907.47,2332.34
2002,2100.08,2517.89,1524.07,1667.76,922.47,1575.22,1767.33,1127.19,2482.18,1750.22,2298.22,343.44,2405.37,1392.32,851.40,1132.58,2677.17,2467.19,718.75,2529.43,1025.11,1883.03,2247.61,489.10,988.66,2378.99
2003,2035.25,2395.55,1310.73,1493.54,678.88,1379.66,1521.49,956.31,2443.09,1580.23,2275.43,293.47,2350.18,1100.73,394.88,1029.41,2688.80,2519.01,529.07,2496.21,591.71,1780.24,2383.00,341.67,536.42,2461.31
2004,1990.57,2358.03,1398.42,1599.09,698.73,1399.11,1536.85,1003.65,2382.05,1638.79,2327.56,317.46,2320.13,1227.42,435.68,1088.42,2542.39,2415.92,561.77,2513.42,643.64,1784.62,2388.69,408.46,571.53,2374.87
2005,1903.47,2467.90,1215.84,1350.96,658.71,1209.12,1570.31,1047.98,2196.34,1449.63,2177.09,256.19,2097.63,1114.76,468.99,858.57,2516.78,2258.15,587.59,2293.06,616.83,1760.14,2328.57,452.02,372.30,2215.13
2006,2027.98,2420.99,1423.16,1537.86,783.56,1401.16,1773.19,1008.91,2489.76,1641.50,2365.64,351.85,2316.45,1318.37,666.12,1097.87,2545.18,2433.79,674.47,2533.32,871.11,1858.88,2373.72,526.35,696.22,2348.63
2007,2062.94,2568.56,1388.81,1426.94,673.46,1310.80,1677.35,963.39,2448.25,1523.43,2301.97,262.83,2381.95,1257.33,549.45,1017.09,2687.04,2552.05,540.36,2527.67,704.16,1922.23,2471.44,367.74,561.69,2431.63
2008,2117.16,2702.60,1462.95,1379.78,692.50,1299.05,1850.76,872.65,2428.28,1516.40,2484.41,463.34,2402.77,1419.30,857.87,1078.86,2713.00,2527.99,537.73,2710.99,1073.00,1695.88,2802.11,401.41,1112.96,2497.58
2009,2285.14,2810.17,1631.01,1535.13,738.08,1455.65,2032.92,919.23,2615.04,1775.29,2698.03,450.53,2590.20,1569.02,761.26,1249.36,2990.16,2726.92,585.59,2787.25,960.18,1797.72,2799.19,423.48,736.65,2677.59
