Variable:,pr
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1992,3358.97,3244.32,8060.21,4212.00,5648.93,3904.00,4395.42,4002.79,3900.07,968.50,4253.09,2503.57,6490.65,2065.30,2813.05,3237.33,3348.42,3119.99,3384.39,2439.56,2427.25,4282.36,3772.90,3198.29,1568.25,3921.98
1993,3255.03,3150.46,7212.62,4086.88,6080.29,3850.56,4309.18,3230.39,3724.06,473.13,4534.76,2480.13,5639.66,1635.06,3057.35,3448.67,3443.66,3196.77,3407.26,2873.57,2695.23,3834.43,2826.86,3163.14,908.49,3406.86
1994,3269.82,2960.06,6926.90,3939.37,5837.34,3822.31,4341.59,2821.31,3442.23,232.42,4500.41,2412.57,5412.23,1437.91,3114.88,3567.15,3719.53,3492.07,3675.92,2847.65,2895.94,3694.38,2495.67,3359.97,814.75,3586.57
1995,3088.55,2666.52,8308.57,4121.98,6009.28,4003.09,4466.89,2557.37,3897.86,313.61,4563.13,1776.57,6422.76,1510.34,2568.83,3192.55,3123.99,2803.63,3087.57,2383.00,2080.06,4163.46,3170.49,3353.80,1061.37,4138.86
1996,2876.66,2541.72,6372.08,3676.36,5437.35,3631.43,3871.79,2158.34,3053.45,248.41,4232.00,1627.61,4866.11,1132.01,2844.56,3260.21,3211.55,3009.65,3266.85,2542.38,2258.12,3156.60,2389.21,3113.13,836.83,3097.04
1997,4165.75,4398.17,14896.01,6073.12,6717.18,5264.46,6646.73,4725.01,5328.48,1324.18,4756.84,2318.07,12216.02,3149.13,2847.20,3351.08,3175.06,2915.76,3155.57,2836.86,2343.07,6975.33,6460.59,3734.31,2148.51,5942.12
1998,4207.77,4840.44,13667.82,6358.06,6559.76,5308.51,6132.51,5955.56,4874.13,1925.13,4745.96,2715.39,10852.22,3125.82,2838.11,3299.00,3320.23,3000.00,3351.74,2661.68,2373.00,6322.39,7218.14,3606.20,3534.27,5364.18
1999,3362.46,3098.26,8927.16,4518.07,6443.22,4292.90,4881.65,2753.82,4193.73,251.96,4999.15,1969.29,7118.10,1922.28,2702.66,3409.02,3332.34,2885.37,3453.01,2733.54,2366.70,4516.90,3512.51,3649.05,1347.12,4094.44
2000,3197.49,2926.84,7741.06,4270.76,6225.58,4151.65,4369.75,2727.28,3892.95,325.15,4720.87,1927.15,5983.91,1512.45,2757.50,3391.93,3382.70,3136.16,3302.67,2577.20,2314.32,3980.22,3056.14,3326.44,1125.29,3529.75
2001,3111.56,2952.44,8667.11,4339.83,5934.56,4004.55,4516.47,3102.43,3839.42,304.28,4383.45,2097.16,6864.34,1775.82,2554.23,2938.98,2906.66,2668.37,2847.81,2271.26,2313.42,4468.01,3494.26,3169.95,1234.96,3874.06
2002,3238.22,3139.77,9452.50,4608.76,6464.83,4294.90,4705.27,3345.51,4495.56,484.96,4604.31,2098.52,7409.87,1844.62,2508.83,2872.15,2844.59,2604.68,2807.13,2407.87,2264.05,4648.26,3936.86,3278.11,1387.69,4148.62
2003,3031.52,2642.57,8241.01,4065.69,6377.24,3935.32,4251.11,2553.39,4248.79,177.27,4560.20,1666.54,6260.80,1385.53,2588.57,3132.79,3029.47,2727.46,2924.89,2373.17,2169.00,3956.79,3001.27,3232.47,867.10,3606.96
2004,2805.23,2525.07,6908.14,3747.39,5549.72,3608.42,3905.89,2423.47,3492.08,247.39,4152.91,1725.70,5309.12,1325.47,2548.13,2940.81,2870.24,2652.22,2861.48,2310.71,2091.36,3541.01,2581.85,3020.34,781.50,3261.52
2005,2675.96,2478.95,5903.25,3460.98,5588.25,3396.85,3674.91,2121.28,3285.50,135.30,4206.73,1596.76,4427.74,1171.70,2607.87,3212.81,2697.11,2620.50,2759.51,2461.06,2274.66,3060.25,2094.50,3017.81,600.55,2977.50
2006,3002.99,2838.12,7678.14,4047.16,6432.40,4023.90,4518.81,2801.94,4064.04,202.56,4863.98,2047.82,5920.06,1402.84,2492.79,3125.64,2816.71,2572.23,2865.46,2637.82,2293.61,3871.93,2788.48,3468.62,871.21,3637.58
2007,2868.17,2586.53,6834.39,3837.11,5939.48,3771.15,3968.16,2497.52,3352.34,391.30,4411.49,1822.41,5185.94,1255.47,2653.65,3093.85,3004.47,2804.98,2909.01,2424.50,2201.83,3552.37,2542.83,3061.48,772.67,3148.50
2008,3182.60,3150.51,7168.00,4246.76,6119.49,4168.36,4378.20,3071.87,3743.91,553.14,4806.46,2200.29,5435.12,1615.70,2920.86,3766.53,3066.72,2816.81,3297.72,3028.16,2448.52,3718.83,2987.49,3487.79,1235.61,3357.92
2009,3017.17,2891.56,6479.78,3935.37,5865.13,3786.13,3935.31,2667.46,3380.04,237.64,4367.62,2098.43,4820.39,1184.93,3033.69,3344.86,3274.72,3102.75,3220.74,2589.58,2725.48,3331.81,2398.58,3096.83,773.89,3085.74
2010,3026.01,2828.54,7466.00,4060.36,6249.35,4002.61,4239.94,2777.23,3794.96,463.99,4628.95,1882.56,5808.40,1616.96,2609.75,3183.61,2946.85,2680.44,3002.10,2637.77,2191.45,3799.58,3035.39,3217.60,1079.38,3381.57
2011,2963.90,2812.82,6312.91,3658.64,5662.36,3705.71,3935.91,2311.33,3161.57,773.07,4315.67,1736.81,4701.83,1087.30,2905.89,3762.45,3308.10,2939.68,3600.80,2940.12,2536.83,3048.53,2177.41,3129.29,648.25,2978.41
2012,3377.94,3173.93,7474.58,4280.35,5864.99,4146.21,4496.06,3019.83,3835.27,734.77,4500.25,2354.20,6063.24,2223.20,3128.76,3590.50,3322.00,3068.25,3417.05,2815.21,2786.51,4360.52,3357.52,3400.31,1445.93,4018.39
2013,3024.07,2606.98,6878.89,3830.50,5475.57,3807.88,3966.21,2468.94,3278.59,418.14,4185.10,1769.71,5362.16,1430.58,3047.17,3483.83,3248.53,2989.70,3209.22,2594.41,2526.25,3510.58,2690.94,3120.67,952.28,3177.01
2014,3213.30,2871.12,8149.18,4149.99,6396.71,4146.14,4420.21,2654.44,4079.71,322.00,4660.21,1922.24,6138.93,1350.50,2996.11,3657.31,3260.80,3046.56,3256.02,2711.13,2589.44,3803.29,2862.63,3342.20,827.84,3453.97
2015,3399.43,3137.99,9810.01,4780.60,6453.80,4631.15,4866.40,3334.12,4484.89,495.95,4433.95,2046.84,7577.71,1645.96,2924.13,3353.58,3210.89,3021.55,3091.35,2503.43,2482.67,4764.95,3719.40,3247.75,1019.28,4075.69
2016,3203.94,3014.74,7596.00,4083.11,5769.89,4066.92,4348.82,3016.71,3606.50,210.48,4327.73,2131.50,5861.89,1523.60,3117.44,3552.93,3317.47,3065.60,3350.62,2700.22,2622.71,3825.78,2926.34,3214.25,913.94,3569.48
2017,3617.94,3530.06,7791.00,4460.08,5652.67,4308.87,4472.20,3949.50,3328.60,368.36,4428.27,2714.17,6018.49,1601.43,3578.34,4230.74,3977.43,3686.38,3971.05,3013.80,3194.87,3775.77,3625.00,3411.40,1642.68,3625.57
2018,3314.50,2797.97,6834.75,3910.32,5566.89,3956.50,4027.46,2547.02,3127.99,334.05,4286.16,1936.00,5062.46,1093.08,3548.39,4291.90,3943.96,3683.25,4270.07,2725.91,2916.80,3304.92,2382.45,3302.41,684.99,3335.61
2019,3619.16,3247.45,8097.97,4523.34,5829.27,4515.19,4468.53,3031.24,3658.31,343.43,4593.07,2338.65,6008.28,1226.18,3792.54,4242.14,4059.06,3887.93,4168.49,2897.99,3273.78,3872.13,3108.10,3587.87,965.68,3737.04
2020,2880.31,2740.59,6250.39,3777.27,5263.16,3837.99,3890.81,2547.74,2978.28,281.20,4186.46,1842.76,4601.91,982.99,3025.40,3503.19,3027.93,2869.65,3248.53,2684.91,2546.97,3073.06,2271.84,3166.06,637.94,3034.43
